step,one,three,threeJob,four
0,50000,50000,50000,50000
50,42449,42218,45527,35283
100,32449,44627,45778,56771
150,34827,52156,54018,55965
200,41894,60791,65335,59472
250,61395,64454,86297,65630
300,59796,78063,100469,78502
350,69437,88710,106328,82602
400,76187,97675,116925,89916
450,75048,95610,124192,92363
500,79201,98095,138123,101136
550,76186,113761,156734,100325
600,80620,108490,170158,112910
650,83671,112301,182057,127309
700,91359,119159,174883,125937
750,89749,131028,194515,131901
800,84898,139206,217991,145611
850,81186,148179,225709,143734
900,88612,142635,233380,153297
950,87123,157067,247022,151208
1000,88366,155402,254644,166473
