step,money,money,money
0,50000,50000,50000
50,42449,42218,45527
100,32449,44627,45778
150,34827,52156,54018
200,41894,60791,65335
250,61395,64454,86297
300,59796,78063,100469
350,69437,88710,106328
400,76187,97675,116925
450,75048,95610,124192
500,79201,98095,138123
550,76186,113761,156734
600,80620,108490,170158
650,83671,112301,182057
700,91359,119159,174883
750,89749,131028,194515
800,84898,139206,217991
850,81186,148179,225709
900,88612,142635,233380
950,87123,157067,247022
1000,88366,155402,254644
