step,first, third,fourth
   0,50000, 50000, 50000
  50,48603, 37091, 38468
 100,49458, 57260, 45888
 150,52738, 60087, 52160
 200,51112, 53057, 60393
 250,53466, 62448, 71201
 300,58679, 72796, 71553
 350,57266, 72660, 73252
 400,55990, 85877, 79880
 450,59850, 81748, 72699
 500,58730, 92976, 91768
 550,59885,101069, 89326
 600,60964,114614, 93875
 650,62013,107660, 88320
 700,62940,125170,100177
 750,62143,127709,102678
 800,61241,123643,102283
 850,62738,128771,110372
 900,65426,143296,109485
 950,65163,143010,110058
1000,66976,144735,104938
